study_id,analyte,analyte_unit,interferent,interferent_unit,interferent_concentration,pool_level,baseline_value,measured_value,replicate,bias_absolute,bias_percent,study_date,technician_id,instrument_id,lot_number
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Medium,135.0,131.43,4,0.0,0.0,2026-03-28 12:02:36.352991,TECH05,CHEM03,LOT2024005
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Medium,135.0,137.776,5,0.0,0.0,2026-03-31 12:02:36.352994,TECH05,CHEM03,LOT2024002
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Medium,135.0,130.88,1,-4.12,-3.05,2026-03-27 12:02:36.352997,TECH05,CHEM02,LOT2024012
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Medium,135.0,135.705,2,0.705,0.52,2026-04-21 12:02:36.352999,TECH01,CHEM02,LOT2024016
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Medium,135.0,128.386,3,-6.614,-4.9,2026-03-28 12:02:36.353002,TECH02,CHEM02,LOT2024007
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Medium,135.0,130.517,4,-4.483,-3.32,2026-04-03 12:02:36.353005,TECH04,CHEM03,LOT2024002
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Medium,135.0,135.664,5,0.664,0.49,2026-02-07 12:02:36.353007,TECH03,CHEM01,LOT2024008
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Medium,135.0,137.492,1,2.492,1.85,2026-03-21 12:02:36.353010,TECH02,CHEM02,LOT2024013
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Medium,135.0,135.578,2,0.578,0.43,2026-04-14 12:02:36.353013,TECH03,CHEM01,LOT2024002
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Medium,135.0,134.61,3,-0.39,-0.29,2026-02-07 12:02:36.353016,TECH04,CHEM03,LOT2024005
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Medium,135.0,133.984,4,-1.016,-0.75,2026-02-25 12:02:36.353019,TECH01,CHEM01,LOT2024013
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Medium,135.0,130.01,5,-4.99,-3.7,2026-01-30 12:02:36.353021,TECH05,CHEM01,LOT2024002
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Medium,135.0,132.571,1,-2.429,-1.8,2026-04-15 12:02:36.353024,TECH01,CHEM03,LOT2024015
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Medium,135.0,133.445,2,-1.555,-1.15,2026-04-15 12:02:36.353027,TECH04,CHEM03,LOT2024007
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Medium,135.0,138.568,3,3.568,2.64,2026-03-26 12:02:36.353029,TECH05,CHEM03,LOT2024017
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Medium,135.0,136.16,4,1.16,0.86,2026-04-05 12:02:36.353032,TECH05,CHEM02,LOT2024002
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Medium,135.0,129.05,5,-5.95,-4.41,2026-04-18 12:02:36.353035,TECH04,CHEM03,LOT2024017
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Medium,135.0,0.001,1,-134.999,-100.0,2026-02-04 12:02:36.353037,TECH01,CHEM01,LOT2024010
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Medium,135.0,0.001,2,-134.999,-100.0,2026-02-27 12:02:36.353040,TECH05,CHEM01,LOT2024020
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Medium,135.0,0.001,3,-134.999,-100.0,2026-03-04 12:02:36.353050,TECH01,CHEM02,LOT2024015
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Medium,135.0,0.001,4,-134.999,-100.0,2026-01-30 12:02:36.353053,TECH04,CHEM02,LOT2024015
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Medium,135.0,0.001,5,-134.999,-100.0,2026-02-03 12:02:36.353058,TECH02,CHEM03,LOT2024009
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Medium,135.0,0.001,1,-134.999,-100.0,2026-01-31 12:02:36.353061,TECH02,CHEM02,LOT2024004
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Medium,135.0,0.001,2,-134.999,-100.0,2026-02-26 12:02:36.353064,TECH02,CHEM01,LOT2024007
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Medium,135.0,0.001,3,-134.999,-100.0,2026-04-09 12:02:36.353066,TECH03,CHEM03,LOT2024009
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Medium,135.0,0.001,4,-134.999,-100.0,2026-02-03 12:02:36.353069,TECH01,CHEM02,LOT2024005
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Medium,135.0,0.001,5,-134.999,-100.0,2026-04-08 12:02:36.353072,TECH01,CHEM02,LOT2024015
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,High,174.0,171.916,1,0.0,0.0,2026-04-04 12:02:36.353075,TECH04,CHEM02,LOT2024017
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,High,174.0,173.192,2,0.0,0.0,2026-03-24 12:02:36.353077,TECH05,CHEM03,LOT2024018
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,High,174.0,169.187,3,0.0,0.0,2026-02-21 12:02:36.353080,TECH05,CHEM01,LOT2024003
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,High,174.0,168.797,4,0.0,0.0,2026-04-01 12:02:36.353082,TECH04,CHEM01,LOT2024004
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,High,174.0,177.534,5,0.0,0.0,2026-04-15 12:02:36.353085,TECH03,CHEM03,LOT2024013
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,High,174.0,179.9,1,5.9,3.39,2026-03-22 12:02:36.353088,TECH01,CHEM02,LOT2024017
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,High,174.0,173.687,2,-0.313,-0.18,2026-04-20 12:02:36.353091,TECH01,CHEM03,LOT2024016
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,High,174.0,178.365,3,4.365,2.51,2026-02-05 12:02:36.353093,TECH02,CHEM02,LOT2024012
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,High,174.0,175.573,4,1.573,0.9,2026-03-30 12:02:36.353096,TECH04,CHEM03,LOT2024006
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,High,174.0,171.194,5,-2.806,-1.61,2026-04-04 12:02:36.353099,TECH04,CHEM02,LOT2024016
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,High,174.0,175.572,1,1.572,0.9,2026-02-04 12:02:36.353101,TECH04,CHEM03,LOT2024008
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,High,174.0,180.69,2,6.69,3.85,2026-03-21 12:02:36.353104,TECH05,CHEM03,LOT2024018
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,High,174.0,173.844,3,-0.156,-0.09,2026-03-22 12:02:36.353107,TECH01,CHEM01,LOT2024011
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,High,174.0,180.806,4,6.806,3.91,2026-01-27 12:02:36.353109,TECH04,CHEM01,LOT2024009
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,High,174.0,162.604,5,-11.396,-6.55,2026-01-29 12:02:36.353112,TECH01,CHEM01,LOT2024012
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,High,174.0,177.575,1,3.575,2.05,2026-04-03 12:02:36.353115,TECH03,CHEM02,LOT2024004
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,High,174.0,174.379,2,0.379,0.22,2026-02-14 12:02:36.353117,TECH03,CHEM01,LOT2024014
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,High,174.0,172.699,3,-1.301,-0.75,2026-03-13 12:02:36.353122,TECH02,CHEM02,LOT2024018
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,High,174.0,174.399,4,0.399,0.23,2026-03-03 12:02:36.353125,TECH04,CHEM01,LOT2024002
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,High,174.0,165.354,5,-8.646,-4.97,2026-04-17 12:02:36.353128,TECH03,CHEM02,LOT2024018
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,High,174.0,0.001,1,-173.999,-100.0,2026-03-10 12:02:36.353131,TECH01,CHEM01,LOT2024018
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,High,174.0,0.001,2,-173.999,-100.0,2026-04-13 12:02:36.353134,TECH03,CHEM02,LOT2024015
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,High,174.0,0.001,3,-173.999,-100.0,2026-02-25 12:02:36.353138,TECH02,CHEM03,LOT2024016
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,High,174.0,0.001,4,-173.999,-100.0,2026-01-30 12:02:36.353140,TECH04,CHEM01,LOT2024010
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,High,174.0,0.001,5,-173.999,-100.0,2026-03-26 12:02:36.353143,TECH03,CHEM02,LOT2024015
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,High,174.0,0.001,1,-173.999,-100.0,2026-02-19 12:02:36.353146,TECH05,CHEM03,LOT2024014
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,High,174.0,0.001,2,-173.999,-100.0,2026-03-20 12:02:36.353149,TECH01,CHEM02,LOT2024003
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,High,174.0,0.001,3,-173.999,-100.0,2026-03-09 12:02:36.353152,TECH03,CHEM02,LOT2024001
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,High,174.0,0.001,4,-173.999,-100.0,2026-02-24 12:02:36.353154,TECH02,CHEM02,LOT2024013
3,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,High,174.0,0.001,5,-173.999,-100.0,2026-03-23 12:02:36.353157,TECH03,CHEM01,LOT2024013
4,Glucose,mg/dL,Lipemia,mg/dL TG,0,Low,96.0,96.233,1,0.0,0.0,2026-04-11 12:02:36.353161,TECH03,CHEM01,LOT2024008
4,Glucose,mg/dL,Lipemia,mg/dL TG,0,Low,96.0,98.325,2,0.0,0.0,2026-03-01 12:02:36.353164,TECH05,CHEM02,LOT2024009
4,Glucose,mg/dL,Lipemia,mg/dL TG,0,Low,96.0,94.315,3,0.0,0.0,2026-02-09 12:02:36.353167,TECH03,CHEM02,LOT2024007
4,Glucose,mg/dL,Lipemia,mg/dL TG,0,Low,96.0,95.214,4,0.0,0.0,2026-03-20 12:02:36.353171,TECH01,CHEM01,LOT2024006
4,Glucose,mg/dL,Lipemia,mg/dL TG,0,Low,96.0,95.059,5,0.0,0.0,2026-04-15 12:02:36.353173,TECH05,CHEM02,LOT2024017
4,Glucose,mg/dL,Lipemia,mg/dL TG,100,Low,96.0,92.488,1,-3.512,-3.66,2026-02-22 12:02:36.353176,TECH02,CHEM01,LOT2024013
4,Glucose,mg/dL,Lipemia,mg/dL TG,100,Low,96.0,96.711,2,0.711,0.74,2026-04-03 12:02:36.353179,TECH02,CHEM02,LOT2024002
4,Glucose,mg/dL,Lipemia,mg/dL TG,100,Low,96.0,96.627,3,0.627,0.65,2026-04-14 12:02:36.353182,TECH01,CHEM01,LOT2024001
4,Glucose,mg/dL,Lipemia,mg/dL TG,100,Low,96.0,96.012,4,0.012,0.01,2026-02-20 12:02:36.353184,TECH05,CHEM02,LOT2024014
4,Glucose,mg/dL,Lipemia,mg/dL TG,100,Low,96.0,95.437,5,-0.563,-0.59,2026-03-05 12:02:36.353187,TECH05,CHEM03,LOT2024009
4,Glucose,mg/dL,Lipemia,mg/dL TG,250,Low,96.0,92.603,1,-3.397,-3.54,2026-02-28 12:02:36.353190,TECH04,CHEM03,LOT2024011
4,Glucose,mg/dL,Lipemia,mg/dL TG,250,Low,96.0,94.99,2,-1.01,-1.05,2026-02-20 12:02:36.353192,TECH02,CHEM01,LOT2024003
4,Glucose,mg/dL,Lipemia,mg/dL TG,250,Low,96.0,95.177,3,-0.823,-0.86,2026-02-28 12:02:36.353195,TECH03,CHEM03,LOT2024010
4,Glucose,mg/dL,Lipemia,mg/dL TG,250,Low,96.0,94.075,4,-1.925,-2.01,2026-04-13 12:02:36.353198,TECH05,CHEM01,LOT2024005
4,Glucose,mg/dL,Lipemia,mg/dL TG,250,Low,96.0,95.613,5,-0.387,-0.4,2026-04-07 12:02:36.353200,TECH01,CHEM03,LOT2024019
4,Glucose,mg/dL,Lipemia,mg/dL TG,500,Low,96.0,96.97,1,0.97,1.01,2026-02-09 12:02:36.353203,TECH04,CHEM03,LOT2024006
4,Glucose,mg/dL,Lipemia,mg/dL TG,500,Low,96.0,100.527,2,4.527,4.72,2026-03-06 12:02:36.353206,TECH03,CHEM02,LOT2024005
4,Glucose,mg/dL,Lipemia,mg/dL TG,500,Low,96.0,96.419,3,0.419,0.44,2026-02-17 12:02:36.353209,TECH03,CHEM03,LOT2024009
4,Glucose,mg/dL,Lipemia,mg/dL TG,500,Low,96.0,96.618,4,0.618,0.64,2026-04-19 12:02:36.353211,TECH05,CHEM02,LOT2024006
4,Glucose,mg/dL,Lipemia,mg/dL TG,500,Low,96.0,95.821,5,-0.179,-0.19,2026-02-04 12:02:36.353214,TECH02,CHEM03,LOT2024015
4,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Low,96.0,1462.319,1,1366.319,1423.25,2026-04-11 12:02:36.353218,TECH02,CHEM01,LOT2024007
4,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Low,96.0,1534.982,2,1438.982,1498.94,2026-04-03 12:02:36.353221,TECH03,CHEM02,LOT2024004
4,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Low,96.0,1538.313,3,1442.313,1502.41,2026-04-14 12:02:36.353224,TECH05,CHEM02,LOT2024008
4,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Low,96.0,1630.588,4,1534.588,1598.53,2026-03-25 12:02:36.353226,TECH03,CHEM03,LOT2024020
4,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Low,96.0,1528.613,5,1432.613,1492.31,2026-01-24 12:02:36.353229,TECH04,CHEM02,LOT2024008
4,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Low,96.0,4449.291,1,4353.291,4534.68,2026-04-08 12:02:36.353232,TECH04,CHEM01,LOT2024001
4,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Low,96.0,4412.168,2,4316.168,4496.01,2026-03-17 12:02:36.353235,TECH02,CHEM01,LOT2024002
4,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Low,96.0,4286.978,3,4190.978,4365.6,2026-02-02 12:02:36.353238,TECH02,CHEM02,LOT2024012
4,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Low,96.0,4542.168,4,4446.168,4631.42,2026-04-17 12:02:36.353240,TECH02,CHEM01,LOT2024001
4,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Low,96.0,4499.013,5,4403.013,4586.47,2026-03-12 12:02:36.353243,TECH01,CHEM01,LOT2024002
5,Glucose,mg/dL,Lipemia,mg/dL TG,0,Medium,135.0,137.67,1,0.0,0.0,2026-02-15 12:02:36.353246,TECH04,CHEM01,LOT2024017
5,Glucose,mg/dL,Lipemia,mg/dL TG,0,Medium,135.0,131.931,2,0.0,0.0,2026-03-01 12:02:36.353249,TECH01,CHEM02,LOT2024011
5,Glucose,mg/dL,Lipemia,mg/dL TG,0,Medium,135.0,139.734,3,0.0,0.0,2026-03-12 12:02:36.353251,TECH03,CHEM03,LOT2024002
5,Glucose,mg/dL,Lipemia,mg/dL TG,0,Medium,135.0,130.269,4,0.0,0.0,2026-01-30 12:02:36.353254,TECH03,CHEM01,LOT2024006
5,Glucose,mg/dL,Lipemia,mg/dL TG,0,Medium,135.0,136.981,5,0.0,0.0,2026-03-02 12:02:36.353256,TECH01,CHEM01,LOT2024001
5,Glucose,mg/dL,Lipemia,mg/dL TG,100,Medium,135.0,142.393,1,7.393,5.48,2026-02-19 12:02:36.353259,TECH04,CHEM02,LOT2024018
5,Glucose,mg/dL,Lipemia,mg/dL TG,100,Medium,135.0,131.657,2,-3.343,-2.48,2026-04-19 12:02:36.353262,TECH03,CHEM03,LOT2024017
5,Glucose,mg/dL,Lipemia,mg/dL TG,100,Medium,135.0,133.089,3,-1.911,-1.42,2026-03-18 12:02:36.353264,TECH01,CHEM02,LOT2024012
5,Glucose,mg/dL,Lipemia,mg/dL TG,100,Medium,135.0,135.336,4,0.336,0.25,2026-01-27 12:02:36.353268,TECH02,CHEM02,LOT2024003
5,Glucose,mg/dL,Lipemia,mg/dL TG,100,Medium,135.0,133.301,5,-1.699,-1.26,2026-02-14 12:02:36.353271,TECH02,CHEM02,LOT2024008
5,Glucose,mg/dL,Lipemia,mg/dL TG,250,Medium,135.0,129.767,1,-5.233,-3.88,2026-03-12 12:02:36.353274,TECH02,CHEM02,LOT2024004
5,Glucose,mg/dL,Lipemia,mg/dL TG,250,Medium,135.0,135.231,2,0.231,0.17,2026-04-20 12:02:36.353277,TECH02,CHEM02,LOT2024009
5,Glucose,mg/dL,Lipemia,mg/dL TG,250,Medium,135.0,131.415,3,-3.585,-2.66,2026-04-18 12:02:36.353280,TECH01,CHEM03,LOT2024001
5,Glucose,mg/dL,Lipemia,mg/dL TG,250,Medium,135.0,136.598,4,1.598,1.18,2026-03-19 12:02:36.353283,TECH05,CHEM01,LOT2024004
5,Glucose,mg/dL,Lipemia,mg/dL TG,250,Medium,135.0,131.897,5,-3.103,-2.3,2026-02-09 12:02:36.353286,TECH05,CHEM02,LOT2024009
5,Glucose,mg/dL,Lipemia,mg/dL TG,500,Medium,135.0,140.231,1,5.231,3.87,2026-03-27 12:02:36.353289,TECH02,CHEM03,LOT2024020
5,Glucose,mg/dL,Lipemia,mg/dL TG,500,Medium,135.0,132.357,2,-2.643,-1.96,2026-02-23 12:02:36.353291,TECH03,CHEM03,LOT2024003
5,Glucose,mg/dL,Lipemia,mg/dL TG,500,Medium,135.0,133.913,3,-1.087,-0.81,2026-04-21 12:02:36.353294,TECH01,CHEM01,LOT2024009
5,Glucose,mg/dL,Lipemia,mg/dL TG,500,Medium,135.0,137.746,4,2.746,2.03,2026-03-20 12:02:36.353297,TECH02,CHEM03,LOT2024019
5,Glucose,mg/dL,Lipemia,mg/dL TG,500,Medium,135.0,130.846,5,-4.154,-3.08,2026-04-23 12:02:36.353300,TECH05,CHEM02,LOT2024011
5,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Medium,135.0,2172.283,1,2037.283,1509.1,2026-02-17 12:02:36.353302,TECH05,CHEM03,LOT2024013
5,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Medium,135.0,2230.586,2,2095.586,1552.29,2026-04-23 12:02:36.353305,TECH01,CHEM01,LOT2024006
5,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Medium,135.0,2073.196,3,1938.196,1435.7,2026-02-15 12:02:36.353308,TECH05,CHEM01,LOT2024014
5,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Medium,135.0,2169.97,4,2034.97,1507.39,2026-04-07 12:02:36.353311,TECH01,CHEM03,LOT2024014
5,Glucose,mg/dL,Lipemia,mg/dL TG,1000,Medium,135.0,2174.034,5,2039.034,1510.4,2026-03-03 12:02:36.353313,TECH02,CHEM02,LOT2024012
5,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Medium,135.0,6331.378,1,6196.378,4589.91,2026-03-23 12:02:36.353316,TECH04,CHEM01,LOT2024018
5,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Medium,135.0,6017.963,2,5882.963,4357.75,2026-03-26 12:02:36.353319,TECH03,CHEM03,LOT2024002
5,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Medium,135.0,6004.999,3,5869.999,4348.15,2026-03-29 12:02:36.353322,TECH04,CHEM02,LOT2024016
5,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Medium,135.0,6291.031,4,6156.031,4560.02,2026-01-29 12:02:36.353325,TECH02,CHEM01,LOT2024019
5,Glucose,mg/dL,Lipemia,mg/dL TG,2000,Medium,135.0,6256.107,5,6121.107,4534.15,2026-04-16 12:02:36.353328,TECH01,CHEM02,LOT2024006
6,Glucose,mg/dL,Lipemia,mg/dL TG,0,High,174.0,175.09,1,0.0,0.0,2026-02-08 12:02:36.353330,TECH03,CHEM03,LOT2024008
6,Glucose,mg/dL,Lipemia,mg/dL TG,0,High,174.0,175.507,2,0.0,0.0,2026-03-22 12:02:36.353333,TECH03,CHEM01,LOT2024003
6,Glucose,mg/dL,Lipemia,mg/dL TG,0,High,174.0,171.042,3,0.0,0.0,2026-03-21 12:02:36.353335,TECH05,CHEM01,LOT2024010
6,Glucose,mg/dL,Lipemia,mg/dL TG,0,High,174.0,175.01,4,0.0,0.0,2026-03-15 12:02:36.353338,TECH05,CHEM03,LOT2024004
6,Glucose,mg/dL,Lipemia,mg/dL TG,0,High,174.0,175.275,5,0.0,0.0,2026-02-09 12:02:36.353340,TECH02,CHEM02,LOT2024001
6,Glucose,mg/dL,Lipemia,mg/dL TG,100,High,174.0,170.893,1,-3.107,-1.79,2026-02-14 12:02:36.353343,TECH04,CHEM02,LOT2024019
6,Glucose,mg/dL,Lipemia,mg/dL TG,100,High,174.0,182.116,2,8.116,4.66,2026-04-22 12:02:36.353346,TECH02,CHEM01,LOT2024020
6,Glucose,mg/dL,Lipemia,mg/dL TG,100,High,174.0,176.061,3,2.061,1.18,2026-02-22 12:02:36.353348,TECH02,CHEM01,LOT2024019
6,Glucose,mg/dL,Lipemia,mg/dL TG,100,High,174.0,168.818,4,-5.182,-2.98,2026-02-15 12:02:36.353351,TECH04,CHEM02,LOT2024011
